rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
1,spotify:track:1jCAwxwhHIrtWzGeF6WfJ7,Kfir Tsafrir,פחד אלוהים,Tedy Productions / Kfir Tsafrir under exclusive license to D-Music,1,1,10,402454,Kfir Tsafrir,['israeli trap'],פחד אלוהים,minor,3.932566404,0.005968451,0.994031489,3.616343498,4.599684715,1.22116363,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
2,spotify:track:74kYHwU43s49Y5AukKArWQ,ששון איפרם שאולוב,משהו אמיתי בעיניים,ללא,2,2,21,308219,ששון איפרם שאולוב,['israeli pop'],משהו אמיתי בעיניים,minor,4.557133675,0.162008941,0.837991059,4.240459442,4.593020439,1.015580654,0.65135628,0.34864375,0.810891032,0.189108923,0.531207263,0.468792766,0.395699471,0.604300499
3,spotify:track:0SMDtYt5HghaTMFc61nCnP,Omer Adam,ואיך שלא,P.A.I LTD,2,3,7,304127,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",ואיך שלא,major,5.193585873,0.197597846,0.802402139,4.688028336,4.511921883,1.010887027,0.254076183,0.745923817,0.756582797,0.243417174,0.446907222,0.553092778,0.459853917,0.540146053
4,spotify:track:3IiaTxdKgDe9NvmosLM8bM,ששון איפרם שאולוב,בואי נדבר,Mobile1 Music,4,4,14,260933,ששון איפרם שאולוב,['israeli pop'],בואי נדבר,major,4.226586819,0.277890891,0.722109079,5.573235989,5.19479847,1.144829035,0.673067033,0.326932997,0.963448465,0.036551561,0.787505746,0.212494254,0.221062884,0.778937161
5,spotify:track:2CUwpTA4gOSouCTyRN1vnE,Itay Levi,אין לי מקום אחר,Mobile1 Music,5,9,6,237557,Itay Levi,"['israeli mediterranean', 'mizrahi']",אין לי מקום אחר,major,3.281769037,0.330844223,0.669155717,4.308772564,4.431075096,1.007232666,0.322154254,0.677845716,0.754023075,0.245976925,0.387855887,0.612144113,0.407108098,0.592891872
6,spotify:track:16HcSqHWoJn7Be4T2MOCZ4,ששון איפרם שאולוב,גן עדן של משוגעים,Mobile1 Music,6,8,5,219886,ששון איפרם שאולוב,['israeli pop'],גן עדן של משוגעים,minor,3.621249914,0.237218931,0.762781084,5.200638771,4.579975128,1.089403272,0.658645451,0.341354549,0.936186671,0.063813359,0.793678343,0.206321612,0.460737944,0.539261997
7,spotify:track:6IVIMUcrykPBQqWVA0g7zw,"STILLA, Ness",חרבו דרבו,2023 Maman Productions & Va’ad Ha Bait Records by PIL ltd,1,5,11,216081,סטילה,['israeli hip hop'],חרבו דרבו,minor,3.865283012,0.177437931,0.822562039,4.204724312,4.133505821,1.134674788,0.228822142,0.771177828,0.562465966,0.437534034,0.30933401,0.69066596,0.517228663,0.482771337
8,spotify:track:44GSjYhBxuuKx0ikN5Dmag,"Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,P.A.I LTD / Jasmin Moallem,2,6,21,213568,Omer Adam,"['israeli mediterranean', 'israeli pop', 'mizrahi']",יהיה טוב & מים שקופים,major,4.603096008,0.005968451,0.994031489,3.616343498,4.599684715,1.096559525,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
9,spotify:track:6nSQvSGrFykSmDIOetK94r,Jasmin Moallem,יהיה טוב,Helicon Music,1,10,34,203011,Jasmin Moallem,['israeli pop'],אין עולם,major,3.353116035,0.24323763,0.756762385,3.978811026,4.299074173,1.273949385,0.656574786,0.343425274,0.824304402,0.175695598,0.529162467,0.470837563,0.264850587,0.735149384
10,spotify:track:0E9S1H3TktlpHmGyuKEfkL,יגל אושרי,לצאת מדיכאון,Liam Productions under exclusive license to D-Music,1,7,23,197008,יגל אושרי,['israeli pop'],לצאת מדיכאון,major,4.152713776,0.20044902,0.79955101,4.165287971,4.145778179,1.056485653,0.125759974,0.8742401,0.54205358,0.45794639,0.255222261,0.744777739,0.535035551,0.464964449
11,spotify:track:34aKXUhVdHGTzWOt85RjGq,Osher Cohen,אהבה,Helicon Aroma Music Ltd./ P.A.I Ltd.,1,11,33,192998,Osher Cohen,['israeli mediterranean'],Part II,minor,4.865843296,0.206105769,0.793894231,5.771708488,5.496965408,1.11597383,0.42550683,0.57449317,0.946914315,0.05308567,0.731961787,0.268038183,0.357001007,0.642998934
12,spotify:track:3cXhJh34pRLkZegiL5cfy9,ששון איפרם שאולוב,כשיגמר לכם הקיץ,Mobile1 Music,11,12,15,172486,ששון איפרם שאולוב,['israeli pop'],כשיגמר לכם הקיץ,minor,5.545684338,0.197018668,0.802981317,5.18603611,4.847251892,1.056650639,0.233404636,0.766595364,0.756429434,0.243570596,0.481443882,0.518556058,0.410517573,0.589482427
13,spotify:track:1lHlKCdVZ4CGbbkTuG6LfT,Jasmin Moallem,יחפים,Helicon Music,4,14,112,158957,Jasmin Moallem,['israeli pop'],יחפים,major,5.801971436,0.007914848,0.992085159,3.78188324,4.68830204,1.021230698,0.050327238,0.949672818,0.363684922,0.636315107,0.028077628,0.971922398,0.785275698,0.214724317
