rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,artist_name,artist_genres,album_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party
1,spotify:track:5A3bEckI7AjWTguGqZOzUm,Noa Kirel,פנתרה,Noa Kirel under exclusive license to NMC United Entertainment Ltd.,1,1,8,215592,Noa Kirel,['israeli pop'],פנתרה,minor,4.435790062,0.006952274,0.993047774,3.688439369,4.745341301,1.236531138,0.043505277,0.956494749,0.395310163,0.604689837,0.025410404,0.974589527,0.814229548,0.185770422
2,spotify:track:7BcRDWY4VTCvRRHoobFWWo,"Tuna, Jasmin Moallem",סהרה - Live,NaNa Disc,2,2,16,203928,Tuna,"['israeli hip hop', 'israeli pop']",סהרה (Live),minor,3.570543051,0.145337299,0.854662657,4.463871002,4.476933479,1.075309873,0.308823943,0.691176116,0.670183837,0.329816133,0.482502222,0.517497778,0.317916542,0.682083428
3,spotify:track:3zhFqDzJZfnc8L5QkGWWG6,Benaia Barabi,קרן שמש,B.B Productions Ltd. under exclusive license to D-Music,3,3,12,175268,Benaia Barabi,['israeli mediterranean'],קרן שמש,major,4.025483608,0.108615294,0.891384661,4.647580624,4.424315453,1.062970996,0.227821261,0.77217871,0.801631033,0.198368907,0.516448617,0.483551353,0.375409096,0.624590874
4,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,4,8,2,159156,Sam Smith,"['pop', 'uk pop']",Unholy (feat. Kim Petras),minor,9.312671661,0.080199212,0.919800758,4.391658783,5.161706924,1.054276466,0.214432761,0.785567224,0.618340015,0.381659955,0.207755402,0.792244673,0.550995111,0.449004889
5,spotify:track:2G1o9Mq8KpamOwJPZLuJc7,"Full Trunk, Jimbo J",סתלבט בקיבוץ,NaNa Disc,2,4,22,150296,Full Trunk,['israeli rock'],ממותה,minor,3.75984025,0.223716646,0.776283383,4.807316303,4.542994022,1.111874819,0.63358897,0.36641106,0.885950506,0.114049487,0.677104235,0.322895795,0.288075775,0.711924195
6,spotify:track:1D8HR389yohrWVZ1yHI2bc,Tuna,היי בייב,NaNa Disc,4,5,42,126985,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,minor,4.27933073,0.08757139,0.912428617,4.415838242,4.427283287,1.369568229,0.608197689,0.391802281,0.795448422,0.204551563,0.621115446,0.378884554,0.414392889,0.585607052
7,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,7,9,6,123112,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",I'm Good (Blue),major,2.295919657,0.005968451,0.994031489,3.616343498,4.599684715,1.058815956,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205
8,spotify:track:4I9NVCnjIRVriXfNE7VhE0,Eden Hason,עושה לי צרות,Mobile1 Music,3,11,20,110381,Eden Hason,['israeli mediterranean'],עושה לי צרות,major,5.490624428,0.226814151,0.773185849,5.148456573,4.988007545,1.048452139,0.181394696,0.818605304,0.855814815,0.144185141,0.410364002,0.589635968,0.406559527,0.593440473
9,spotify:track:2XNXcmwubbt8MJYlQRb4V2,Odeya,אינטלקטוערס,Helicon Aroma Music Ltd.,9,14,11,109265,אודיה,['israeli pop'],אינטלקטוערס,major,3.474985361,0.308611244,0.691388726,4.695327282,4.661313534,1.113783121,0.250179738,0.749820232,0.786364436,0.213635534,0.483277023,0.516722977,0.438689917,0.561310112
10,spotify:track:3uidHx3If1PWAOCMcCdkNH,Tuna,סהרה,NaNa Disc,10,13,42,107772,Tuna,"['israeli hip hop', 'israeli pop']",מזרח פרוע,minor,3.570543051,0.145337299,0.854662657,4.463871002,4.476933479,1.075309873,0.308823943,0.691176116,0.670183837,0.329816133,0.482502222,0.517497778,0.317916542,0.682083428
